candidate_id,formula,surface,facet,site,source,fallback_used,dG_H,label_std,label_count,pred_dG_H,screen_score
Cd9Ti3|Cd3Ti|111,Cd9Ti3,Cd3Ti,111,top|B,Catalysis-Hub,False,-0.008040691859577,0.0,1,-1.3599244147949916e-06,1.3599244147949916e-06
Cu9Rh3|Cu3Rh|111,Cu9Rh3,Cu3Rh,111,top|B,Catalysis-Hub,False,-0.0025113386645614,0.0,1,-0.00018664306207380902,0.00018664306207380902
Cr3Pt9|Pt3Cr|111,Cr3Pt9,Pt3Cr,111,hollow|A_A_A|FCC,Catalysis-Hub,False,0.0133048700381834,0.0,1,-0.000340435068047073,0.000340435068047073
Cd6Pd6|CdPd|101,Cd6Pd6,CdPd,101,bridge,Catalysis-Hub,False,-0.009682082457374,0.0,1,-0.0007554092579380617,0.0007554092579380617
Ta24N12|Ta2N-mp-1079438-B|100,Ta24N12,Ta2N-mp-1079438-B,100,site10,Catalysis-Hub,False,0.4685809050000102,0.0,1,0.000830066420538618,0.000830066420538618
Fe6Ir6|FeIr|101,Fe6Ir6,FeIr,101,bridge|B_B|A,Catalysis-Hub,False,0.0599119841363346,0.0,1,0.0008568946902015005,0.0008568946902015005
Cr16N16|CrN-mp-1018157-B|100,Cr16N16,CrN-mp-1018157-B,100,site3,Catalysis-Hub,False,-0.278462085000001,0.0,1,-0.0010781436971728658,0.0010781436971728658
Cr16N16|CrN-mp-2132-A|100,Cr16N16,CrN-mp-2132-A,100,site3,Catalysis-Hub,False,-0.3777393350000579,0.0,1,-0.0010781436971728658,0.0010781436971728658
Cr16N16|CrN-mp-1018157-A|100,Cr16N16,CrN-mp-1018157-A,100,site3,Catalysis-Hub,False,0.3739718150000044,0.0,1,-0.0010781436971728658,0.0010781436971728658
Bi6Pt6|BiPt|101,Bi6Pt6,BiPt,101,top|B,Catalysis-Hub,False,-0.0060271854590325,0.0,1,-0.0011475605480824576,0.0011475605480824576
