source_id,candidate_id,formula,surface,facet,reaction,adsorbate,site,reaction_energy,source,fallback_used
UmVhY3Rpb246MzU0MzU5,Hf3In9|In3Hf|111,Hf3In9,In3Hf,111,H2O(g) - H2(g) + * -> O*,O,top|B,-0.8230451764613349,Catalysis-Hub,False
UmVhY3Rpb246MzQyNTc2,Os9Zr3|Os3Zr|111,Os9Zr3,Os3Zr,111,H2O(g) - H2(g) + * -> O*,O,hollow|A_A_B|FCC,-1.0907345800625876,Catalysis-Hub,False
UmVhY3Rpb246MzQzMzE3,In3Sc9|Sc3In|111,In3Sc9,Sc3In,111,H2O(g) - H2(g) + * -> O*,O,hollow|A_A_A|HCP,-3.9743841130622855,Catalysis-Hub,False
UmVhY3Rpb246MzQzNjE3,Tc3Zn9|Zn3Tc|111,Tc3Zn9,Zn3Tc,111,H2O(g) - H2(g) + * -> O*,O,hollow|A_A_B|FCC,0.265127860136829,Catalysis-Hub,False
UmVhY3Rpb246MzQzNjM4,Cd9Cu3|Cd3Cu|111,Cd9Cu3,Cd3Cu,111,H2O(g) - H2(g) + * -> O*,O,hollow|A_A_A|HCP,1.1569666803368932,Catalysis-Hub,False
UmVhY3Rpb246MzQzNjYw,Re3Sc9|Sc3Re|111,Re3Sc9,Sc3Re,111,H2O(g) - H2(g) + * -> O*,O,hollow|A_A_A|HCP,-3.6370073076615768,Catalysis-Hub,False
UmVhY3Rpb246MzUzMTc0,Ru6Ta6|RuTa|101,Ru6Ta6,RuTa,101,H2O(g) - H2(g) + * -> O*,O,top|B,-1.1436190883616177,Catalysis-Hub,False
UmVhY3Rpb246MzU1NTM0,Al6Ir6|AlIr|101,Al6Ir6,AlIr,101,H2O(g) - H2(g) + * -> O*,O,hollow|A_A_B|HCP,-0.41499986296201996,Catalysis-Hub,False
UmVhY3Rpb246MzQyNTc3,Os9Zr3|Os3Zr|111,Os9Zr3,Os3Zr,111,H2O(g) - H2(g) + * -> O*,O,hollow|A_A_B|HCP,-1.0778275404629198,Catalysis-Hub,False
UmVhY3Rpb246MzQzNjE4,Tc3Zn9|Zn3Tc|111,Tc3Zn9,Zn3Tc,111,H2O(g) - H2(g) + * -> O*,O,hollow|A_A_B|HCP,0.06992427683491087,Catalysis-Hub,False
UmVhY3Rpb246MzQzNjM5,Cd9Cu3|Cd3Cu|111,Cd9Cu3,Cd3Cu,111,H2O(g) - H2(g) + * -> O*,O,hollow|A_A_B|FCC,0.9012761363372306,Catalysis-Hub,False
UmVhY3Rpb246MzQzNjYx,Re3Sc9|Sc3Re|111,Re3Sc9,Sc3Re,111,H2O(g) - H2(g) + * -> O*,O,hollow|A_A_B|FCC,-2.502602402164655,Catalysis-Hub,False
UmVhY3Rpb246MzQ5MTgw,Au9Pd3|Au3Pd|111,Au9Pd3,Au3Pd,111,H2O(g) - H2(g) + * -> O*,O,top|A,3.693468616336588,Catalysis-Hub,False
UmVhY3Rpb246MzU1NTM2,Al6Ir6|AlIr|101,Al6Ir6,AlIr,101,H2O(g) - H2(g) + * -> O*,O,top|B,2.0752325162391685,Catalysis-Hub,False
UmVhY3Rpb246MzQzNjQw,Cd9Cu3|Cd3Cu|111,Cd9Cu3,Cd3Cu,111,H2O(g) - H2(g) + * -> O*,O,hollow|A_A_B|HCP,0.8498282531398331,Catalysis-Hub,False
UmVhY3Rpb246MzQzNjYy,Re3Sc9|Sc3Re|111,Re3Sc9,Sc3Re,111,H2O(g) - H2(g) + * -> O*,O,hollow|A_A_B|HCP,-2.600124464363205,Catalysis-Hub,False
