source_id,candidate_id,formula,surface,facet,reaction,adsorbate,site,reaction_energy,source,fallback_used,dG_H
UmVhY3Rpb246MzY1OTcx,Ir6Ti6|IrTi|101,Ir6Ti6,IrTi,101,NH3(g) + 4* -> 3H* + N*,H,hollow,-2.2301036587243175,Catalysis-Hub,False,-2.2301036587243175
UmVhY3Rpb246MzY3MzQw,Au6La6|AuLa|101,Au6La6,AuLa,101,OCHOH(g) + 5* -> C* + 2H* + 2O*,H,bridge,-5.639842304621425,Catalysis-Hub,False,-5.639842304621425
UmVhY3Rpb246MzY3OTM3,Co6Ti6|CoTi|101,Co6Ti6,CoTi,101,C2H2(g) + 4* -> 2C* + 2H*,H,hollow,-3.572272786207634,Catalysis-Hub,False,-3.572272786207634
UmVhY3Rpb246MzY4MTg1,Ag6Au6|AgAu|101,Ag6Au6,AgAu,101,H2O(g) + 3* -> 2H* + O*,H,bridge,2.80781358311458,Catalysis-Hub,False,2.80781358311458
UmVhY3Rpb246MzY4MzY5,Mo6Y6|MoY|101,Mo6Y6,MoY,101,H2O(g) + 3* -> 2H* + O*,H,bridge,-4.542718899576471,Catalysis-Hub,False,-4.542718899576471
UmVhY3Rpb246MzYwOTU1,Bi6Mo6|BiMo|101,Bi6Mo6,BiMo,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,bridge,-0.969388406693156,Catalysis-Hub,False,-0.969388406693156
UmVhY3Rpb246MzYyNjM0,Cd3Tl9|Tl3Cd|111,Cd3Tl9,Tl3Cd,111,CH4(g) + 5* -> C* + 4H*,H,bridge,8.64238435996333,Catalysis-Hub,False,8.64238435996333
UmVhY3Rpb246MzY0OTY2,Ga6Zr6|GaZr|101,Ga6Zr6,GaZr,101,CH3OH(g) + 6* -> C* + 4H* + O*,H,bridge,-3.047574174393503,Catalysis-Hub,False,-3.047574174393503
UmVhY3Rpb246MzY1NDcw,Ir6Rh6|IrRh|101,Ir6Rh6,IrRh,101,OCHOH(g) + 5* -> C* + 2H* + 2O*,H,hollow,0.40863457617683707,Catalysis-Hub,False,0.40863457617683707
UmVhY3Rpb246MzY2ODQ4,Au6Ni6|AuNi|101,Au6Ni6,AuNi,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,bridge,2.2779375980913983,Catalysis-Hub,False,2.2779375980913983
UmVhY3Rpb246MzY3MTY3,Cd6Hg6|CdHg|101,Cd6Hg6,CdHg,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,top,11.168912779497646,Catalysis-Hub,False,11.168912779497646
UmVhY3Rpb246MzY3MzQx,Au6La6|AuLa|101,Au6La6,AuLa,101,H2O(g) + 3* -> 2H* + O*,H,bridge,-3.5750321565739114,Catalysis-Hub,False,-3.5750321565739114
UmVhY3Rpb246MzY3NDA0,Cr6Tl6|CrTl|101,Cr6Tl6,CrTl,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,top,-0.29758124489887905,Catalysis-Hub,False,-0.29758124489887905
UmVhY3Rpb246MzY3ODc1,Hf6Y6|HfY|101,Hf6Y6,HfY,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,hollow,-4.571469495107863,Catalysis-Hub,False,-4.571469495107863
UmVhY3Rpb246MzY4MjQ5,Cu6Ta6|CuTa|101,Cu6Ta6,CuTa,101,NCH(g) + 3* -> C* + H* + N*,H,bridge,-2.8936060422823857,Catalysis-Hub,False,-2.8936060422823857
UmVhY3Rpb246MzYwOTU2,Bi6Mo6|BiMo|101,Bi6Mo6,BiMo,101,H2(g) + 2* -> 2H*,H,bridge,-1.240450253511824,Catalysis-Hub,False,-1.240450253511824
UmVhY3Rpb246MzYyNjM1,Cd3Tl9|Tl3Cd|111,Cd3Tl9,Tl3Cd,111,OCHOH(g) + 5* -> C* + 2H* + 2O*,H,bridge,7.293581505274915,Catalysis-Hub,False,7.293581505274915
UmVhY3Rpb246MzY0OTY3,Ga6Zr6|GaZr|101,Ga6Zr6,GaZr,101,H2S(g) + 3* -> 2H* + S*,H,bridge,-3.3779897637049316,Catalysis-Hub,False,-3.3779897637049316
UmVhY3Rpb246MzY1NDcx,Ir6Rh6|IrRh|101,Ir6Rh6,IrRh,101,H2O(g) + 3* -> 2H* + O*,H,hollow,0.07149437372379452,Catalysis-Hub,False,0.07149437372379452
UmVhY3Rpb246MzY1OTcz,Ir6Ti6|IrTi|101,Ir6Ti6,IrTi,101,CH3CH3(g) + 8* -> 2C* + 6H*,H,hollow,0.6675925263692761,Catalysis-Hub,False,0.6675925263692761
UmVhY3Rpb246MzY2ODQ5,Au6Ni6|AuNi|101,Au6Ni6,AuNi,101,H2(g) + 2* -> 2H*,H,bridge,-0.35192509951406237,Catalysis-Hub,False,-0.35192509951406237
UmVhY3Rpb246MzY3MTY4,Cd6Hg6|CdHg|101,Cd6Hg6,CdHg,101,H2(g) + 2* -> 2H*,H,top,1.7664784130848261,Catalysis-Hub,False,1.7664784130848261
UmVhY3Rpb246MzY3NDA1,Cr6Tl6|CrTl|101,Cr6Tl6,CrTl,101,H2(g) + 2* -> 2H*,H,top,-0.28847114571357224,Catalysis-Hub,False,-0.28847114571357224
UmVhY3Rpb246MzY3NzQz,Al6Os6|AlOs|101,Al6Os6,AlOs,101,OCHOH(g) + 5* -> C* + 2H* + 2O*,H,top-tilt,-2.527648711921074,Catalysis-Hub,False,-2.527648711921074
UmVhY3Rpb246MzY3ODc2,Hf6Y6|HfY|101,Hf6Y6,HfY,101,H2(g) + 2* -> 2H*,H,hollow,-1.9621437735167433,Catalysis-Hub,False,-1.9621437735167433
UmVhY3Rpb246MzY3OTM5,Co6Ti6|CoTi|101,Co6Ti6,CoTi,101,CH2CH2(g) + 6* -> 2C* + 4H*,H,hollow,-2.814727587696666,Catalysis-Hub,False,-2.814727587696666
UmVhY3Rpb246MzY4MTg3,Ag6Au6|AgAu|101,Ag6Au6,AgAu,101,NCH(g) + 3* -> C* + H* + N*,H,bridge,5.738259893386953,Catalysis-Hub,False,5.738259893386953
UmVhY3Rpb246MzY4MjUw,Cu6Ta6|CuTa|101,Cu6Ta6,CuTa,101,C2H2(g) + 4* -> 2C* + 2H*,H,bridge,-2.1699904461921165,Catalysis-Hub,False,-2.1699904461921165
UmVhY3Rpb246MzY4Mzcx,Mo6Y6|MoY|101,Mo6Y6,MoY,101,NCH(g) + 3* -> C* + H* + N*,H,bridge,-4.65450721009654,Catalysis-Hub,False,-4.65450721009654
UmVhY3Rpb246MzYwOTU3,Bi6Mo6|BiMo|101,Bi6Mo6,BiMo,101,NH3(g) + 4* -> 3H* + N*,H,bridge,-1.8506417266118547,Catalysis-Hub,False,-1.8506417266118547
UmVhY3Rpb246MzYyNjM2,Cd3Tl9|Tl3Cd|111,Cd3Tl9,Tl3Cd,111,H2O(g) + 3* -> 2H* + O*,H,bridge,2.4900784987238467,Catalysis-Hub,False,2.4900784987238467
UmVhY3Rpb246MzY0OTY4,Ga6Zr6|GaZr|101,Ga6Zr6,GaZr,101,H2SO3(g) + 6* -> 2H* + 3O* + S*,H,bridge,-12.773369851163807,Catalysis-Hub,False,-12.773369851163807
UmVhY3Rpb246MzY2NTA5,Mo6Pd6|MoPd|101,Mo6Pd6,MoPd,101,CH3CH2OH(g) + 9* -> 2C* + 6H* + O*,H,hollow,-3.488130697295105,Catalysis-Hub,False,-3.488130697295105
