model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,n_samples,n_features
ExtraTrees,0.16814627593294912,0.003508408021410933,0.34859878587774623,0.014274681627671622,0.715708874016454,0.014530644598893014,9481,280
RandomForest,0.17998855455077145,0.0038792748730287897,0.3595098511174659,0.012384591808349303,0.6977066920106216,0.009619914234432415,9481,280
Ensemble_ET_RF_XGB,0.1824647758027516,0.0032003585518430647,0.3526455340783866,0.013308661804679394,0.7091074230897637,0.01226975067711346,9481,280
XGBoost,0.21907948504789349,0.00161816430661611,0.38186910262706547,0.011154648240123187,0.6588377591917376,0.011111545291814877,9481,280
