kind,candidate_id,formula,surface,site,PC1,PC2,dG_H,pred_dG_H,pred_sigma,near_zero_rank,priority_rank,dft_converged
train,Ag3Cu9|Cu3Ag|111,Ag3Cu9,Cu3Ag,hollow|A_A_A|FCC,-7.68463069425085,-3.2643159819245393,-0.0537509186605973,,,,,False
train,Ag3Cu9|Cu3Ag|111,Ag3Cu9,Cu3Ag,hollow|A_A_B|FCC,-7.66550923486168,-3.232961418535856,0.0616509276378849,,,,,False
train,Ag3Fe9|Fe3Ag|111,Ag3Fe9,Fe3Ag,hollow|A_A_A|FCC,-4.745363432532669,-2.418229958531627,0.9072695796430992,,,,,False
train,Ag3Fe9|Fe3Ag|111,Ag3Fe9,Fe3Ag,hollow|A_A_A|HCP,-4.739870778782986,-2.412392020588573,0.8750464030463547,,,,,False
train,Ag3Hf9|Hf3Ag|111,Ag3Hf9,Hf3Ag,hollow|A_A_A|HCP,-5.870066056460671,-5.2358949008132,-0.9744740786581758,,,,,False
train,Ag3Hf9|Hf3Ag|111,Ag3Hf9,Hf3Ag,top|B,-5.093431030340865,-4.673390437229242,0.5402248827422511,,,,,False
train,Ag3In9|In3Ag|111,Ag3In9,In3Ag,hollow|A_A_B|FCC,-7.045272276014182,-2.8176879224700895,0.6964427164430447,,,,,False
train,Ag3In9|In3Ag|111,Ag3In9,In3Ag,top|A,-6.293821810064541,-2.291218381812059,0.8591809418440164,,,,,False
train,Ag3Mo9|Mo3Ag|111,Ag3Mo9,Mo3Ag,top|B,-5.279524048414338,-1.5944356751454904,0.6667633960433079,,,,,False
train,Ag3Nb9|Nb3Ag|111,Ag3Nb9,Nb3Ag,hollow|A_A_A|FCC,-5.946896529406725,-2.6289541829977505,-1.039290914660313,,,,,False
train,Ag3Ni9|Ni3Ag|111,Ag3Ni9,Ni3Ag,bridge|A_B|A,-5.691903649906535,-2.246639353559433,0.0724984737471743,,,,,False
train,Ag3Ni9|Ni3Ag|111,Ag3Ni9,Ni3Ag,hollow,-5.31575425882398,-1.8087112067821542,-0.3702986341586154,,,,,False
train,Ag3Ni9|Ni3Ag|111,Ag3Ni9,Ni3Ag,hollow|A_A_A|HCP,-5.958112428716479,-2.3445933085869304,-0.3702986341586154,,,,,False
train,Ag3Ni9|Ni3Ag|111,Ag3Ni9,Ni3Ag,top|A,-5.193033157127349,-1.7926071424832721,0.1762071802450293,,,,,False
train,Ag3Os9|Os3Ag|111,Ag3Os9,Os3Ag,bridge|A_A|A,-7.452715217707022,-4.837855683032641,-0.1243753442531385,,,,,False
train,Ag3Os9|Os3Ag|111,Ag3Os9,Os3Ag,top|B,-6.933828938810877,-4.356127145326234,0.8994250819460206,,,,,False
train,Ag3Pd9|Pd3Ag|111,Ag3Pd9,Pd3Ag,hollow|A_A_A|FCC,-9.38483706248591,-2.983624346196742,-0.2910649347604419,,,,,False
train,Ag3Pd9|Pd3Ag|111,Ag3Pd9,Pd3Ag,hollow|A_A_B|FCC,-9.36571560309674,-2.952269782808059,-0.1099342628576494,,,,,False
train,Ag3Re9|Re3Ag|111,Ag3Re9,Re3Ag,hollow|A_A_A|FCC,-7.638672850273063,-4.498363876779602,-0.2897540263574854,,,,,False
train,Ag3Rh9|Rh3Ag|111,Ag3Rh9,Rh3Ag,hollow,-7.41570581649588,-2.6038400049751202,-0.450878344657184,,,,,False
train,Ag3Rh9|Rh3Ag|111,Ag3Rh9,Rh3Ag,hollow|A_A_A|FCC,-8.063556640138062,-3.1455600447229517,-0.450878344657184,,,,,False
train,Ag3Sc9|Sc3Ag|111,Ag3Sc9,Sc3Ag,hollow|A_A_A|HCP,-1.4415955814062904,-2.8484316675827044,-1.1699184827584477,,,,,False
train,Ag3Ta9|Ta3Ag|111,Ag3Ta9,Ta3Ag,bridge|A_A|A,-6.141306092266836,-4.749932342263823,-0.8605872261568663,,,,,False
train,Ag3V9|V3Ag|111,Ag3V9,V3Ag,hollow,-2.2823951949791157,-1.2142438174808423,-1.023126536357239,,,,,False
train,Ag3V9|V3Ag|111,Ag3V9,V3Ag,hollow|A_A_A|FCC,-2.9302460186212977,-1.7559638572286733,-1.023126536357239,,,,,False
train,Ag3V9|V3Ag|111,Ag3V9,V3Ag,hollow|A_A_A|HCP,-2.9247533648716164,-1.7501259192856193,-1.0180890289547904,,,,,False
train,Ag3W9|W3Ag|111,Ag3W9,W3Ag,hollow,-5.324951380180007,-3.980208151910506,-1.048895308757864,,,,,False
train,Ag3W9|W3Ag|111,Ag3W9,W3Ag,hollow|A_A_A|FCC,-5.972802203822189,-4.521928191658335,-0.9043865335579256,,,,,False
train,Ag3W9|W3Ag|111,Ag3W9,W3Ag,top|B,-5.190674523952701,-3.9535857901313243,0.7396948028408872,,,,,False
train,Ag3Y9|Y3Ag|111,Ag3Y9,Y3Ag,top|A,-2.9476508161852166,-2.6131931925587164,0.2018767669406145,,,,,False
train,Ag3Y9|Y3Ag|111,Ag3Y9,Y3Ag,top|B,-2.936095061654541,-2.6026748950784193,0.458063782641176,,,,,False
train,Ag3Zn9|Zn3Ag|111,Ag3Zn9,Zn3Ag,bridge,-5.938575825233521,-2.99500036640647,0.5287924280355867,,,,,False
train,Ag3Zn9|Zn3Ag|111,Ag3Zn9,Zn3Ag,bridge|A_A|B,-6.456853458306618,-3.477774816767354,0.5287924280355867,,,,,False
train,Ag3Zr9|Zr3Ag|111,Ag3Zr9,Zr3Ag,hollow,-3.772757481012771,-1.929069861019586,-1.0390721351568288,,,,,False
train,Ag3Zr9|Zr3Ag|111,Ag3Zr9,Zr3Ag,hollow|A_A_A|FCC,-4.4206083046549525,-2.470789900767419,-1.0387228770586887,,,,,False
train,Ag3Zr9|Zr3Ag|111,Ag3Zr9,Zr3Ag,hollow|A_A_A|HCP,-4.41511565090527,-2.464951962824365,-1.0168647887576014,,,,,False
train,Ag64|Ag|100,Ag64,Ag,nan,-9.009397001632044,-1.976770071649285,0.5012886116019217,,,,,False
train,Ag6Cd6|AgCd|101,Ag6Cd6,AgCd,hollow|A_A_B|FCC,-9.341952061762461,-3.68262623396473,0.5322939888438043,,,,,False
train,Ag6Cd6|AgCd|101,Ag6Cd6,AgCd,hollow|A_A_B|HCP,-9.336459408012779,-3.6767882960216767,0.5179861071456173,,,,,False
train,Ag6Cd6|AgCd|101,Ag6Cd6,AgCd,hollow|A_B_B|FCC,-9.346872479194195,-3.6688680500142374,0.6224704741407834,,,,,False
train,Ag6Cd6|AgCd|101,Ag6Cd6,AgCd,hollow|A_B_B|HCP,-9.341379825444513,-3.663030112071184,0.6112682277389752,,,,,False
train,Ag6Cd6|AgCd|101,Ag6Cd6,AgCd,top|B,-8.578945841282142,-3.145638395826403,0.9714605539420802,,,,,False
train,Ag6Co6|AgCo|101,Ag6Co6,AgCo,hollow-tilt|A_A_B|HCP,-5.46377284577133,-2.578579453833656,0.0446300709454874,,,,,False
train,Ag6Co6|AgCo|101,Ag6Co6,AgCo,hollow|A_A_B|HCP,-5.389864033327144,-2.47832099760931,0.044001487943234,,,,,False
train,Ag6Co6|AgCo|101,Ag6Co6,AgCo,top|A,-4.64390622112719,-1.9576893948943337,0.7908697558459892,,,,,False
train,Ag6Cu6|AgCu|101,Ag6Cu6,AgCu,hollow,-7.03994108864845,-2.8019898844691715,0.0519798657487911,,,,,False
train,Ag6Cu6|AgCu|101,Ag6Cu6,AgCu,hollow|A_A_B|HCP,-7.6631777991517795,-3.306517422885266,0.194425201648329,,,,,False
train,Ag6Cu6|AgCu|101,Ag6Cu6,AgCu,hollow|A_B_B|FCC,-7.673590870333196,-3.298597176877828,0.0519798657487911,,,,,False
train,Ag6Cu6|AgCu|101,Ag6Cu6,AgCu,hollow|A_B_B|HCP,-7.668098216583513,-3.292759238934774,0.0734229804448034,,,,,False
train,Ag6Cu6|AgCu|101,Ag6Cu6,AgCu,top|A,-6.917219986951821,-2.7858858201702894,0.8377032686485393,,,,,False
train,Ag6Fe6|AgFe|101,Ag6Fe6,AgFe,bridge|B_B|A,-4.602962201208916,-2.8262683771970294,-0.2783772189568196,,,,,False
train,Ag6Fe6|AgFe|101,Ag6Fe6,AgFe,hollow|A_A_B|FCC,-4.903432755338268,-2.9535114418929402,0.0200862190404507,,,,,False
train,Ag6Fe6|AgFe|101,Ag6Fe6,AgFe,hollow|A_B_B|HCP,-4.9028605190203205,-2.9339153199993944,-0.307076657357328,,,,,False
train,Ag6Fe6|AgFe|101,Ag6Fe6,AgFe,top|B,-4.140426534857953,-2.4165236037546127,0.2734346792431381,,,,,False
train,Ag6Ga6|AgGa|101,Ag6Ga6,AgGa,bridge|A_B|B,-4.310934380095991,-2.7331382987536004,0.5917858292387166,,,,,False
train,Ag6Ga6|AgGa|101,Ag6Ga6,AgGa,hollow,-3.9463407435441153,-2.3057284494566175,0.5760452682452808,,,,,False
train,Ag6Ga6|AgGa|101,Ag6Ga6,AgGa,hollow|A_B_B|FCC,-4.579990525228857,-2.802335741865274,0.7169697598447158,,,,,False
train,Ag6Hf6|AgHf|101,Ag6Hf6,AgHf,bridge,-3.7427841510733133,-5.210045428927091,-0.7885401892626476,,,,,False
train,Ag6Mo6|AgMo|101,Ag6Mo6,AgMo,bridge|B_B|A,-5.39497461212982,-3.173342919821024,-0.6168012543630255,,,,,False
