model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,n_samples,n_features,is_best
ExtraTrees,0.16793792186002904,0.0031306114559831247,0.348513203546037,0.012718346083444658,0.7158424155329004,0.013067061493154132,9481,280,True
RandomForest,0.1799713790138407,0.0034867933528671055,0.3595750407828829,0.011105435161286767,0.6975979317820333,0.008624241123714222,9481,280,False
XGBoost,0.21907948504789349,0.001447330155342972,0.3818691026270654,0.009977020692005529,0.6588377591917376,0.00993846824302633,9481,280,False
Huber,0.2979569406724227,0.0033962788061015457,0.5285261777280341,0.012114139203101183,0.34645340678093667,0.01587150274547314,9481,280,False
Ridge,0.3174276967468942,0.005144165376168926,0.5091262150282158,0.00966227074104344,0.39357959688500543,0.007809504303178582,9481,280,False
