feature_set,n_samples,n_features,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,mae_improvement_vs_formula_only_percent
formula_composition_only,9481,120,0.25983023027771895,0.0060984398946971686,0.4749543250738305,0.013171218737648588,0.47214939705161213,0.019480835943732237,0.0
full_context_top280,9481,280,0.16814627593294912,0.0031380155314721446,0.34859878587774623,0.012767663390656435,0.715708874016454,0.012996603632005997,35.286099791688464
