reaction,target,model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,is_best
her,dG_H,LinearRegression,1.2053884237559658,0.09004935168827784,1.5768959152985045,0.11888175563326317,0.31671952160584366,0.0741889771061661,False
her,dG_H,Ridge,1.1803653915632595,0.08050195921267514,1.553352087300016,0.10905067514523518,0.33710687297133024,0.06645279018042569,False
her,dG_H,RandomForest,1.1076214977038066,0.08624858489880861,1.5138129150764588,0.12468642594952797,0.37279944474576227,0.046314144274686456,True
her,dG_H,MLP,1.1737768818765955,0.0653607474996507,1.5614286197147653,0.09288127944959074,0.32884759818992143,0.07045707397948188,False
her,dG_H,XGBoost,1.1254050713955046,0.09975091950314098,1.5047100182904656,0.14109969652162993,0.38071517075690536,0.05524439414393868,False
oer,dG_OH,LinearRegression,0.8556256377697193,0.13369471622075818,1.22154466890906,0.28673150777116196,-0.03949414013719856,0.4308465565183953,False
oer,dG_OH,Ridge,0.5825924329472822,0.11603905616521269,0.7535778842190097,0.15384682240926761,0.5897712533973039,0.1984616041764963,False
oer,dG_OH,RandomForest,0.49408815201759354,0.13826586102976962,0.6087196890424769,0.12285104100288763,0.7361846319997392,0.13806661243805526,False
oer,dG_OH,MLP,2.3533166347286034,3.580234374042741,8.568203679958803,15.774991682305593,-246.18058264468544,493.66521561238284,False
oer,dG_OH,XGBoost,0.4646814383421038,0.12430761040162436,0.571942011241411,0.1304694126919479,0.7645921247195433,0.13198829356824318,True
oer,dG_O,LinearRegression,1.243406921341562,0.24855571421390643,1.796618344654327,0.5737766202785848,-0.39131347649842024,1.0625266785914629,False
oer,dG_O,Ridge,0.7843057789011009,0.1074127810688537,1.010571966490819,0.16571039742151938,0.6100331530549331,0.0989072152762179,False
oer,dG_O,RandomForest,0.7232019549408137,0.11299768964991835,0.9459012749677186,0.1328253736634136,0.6591893225212335,0.07237635365724679,False
oer,dG_O,MLP,2.526185853118333,3.5150297644380886,8.54175611535113,15.028497407832667,-130.3462294359835,261.9064933294843,False
oer,dG_O,XGBoost,0.6592757967383334,0.13230065726626686,0.8824643784304922,0.18237744085348095,0.7031919816554598,0.08545835464470586,True
oer,dG_OOH,LinearRegression,1.3203547668111069,0.29955267586085904,2.020515006925277,0.5547534918525345,-1.5718947738376994,1.874446292638364,False
oer,dG_OOH,Ridge,0.7748764956645973,0.11895490597731691,1.1004544035995434,0.20627941711437586,0.3965893685061709,0.2548400892123529,False
oer,dG_OOH,RandomForest,0.602547808699166,0.12229163229870556,0.8620180433670246,0.3083080378870285,0.663565729680654,0.10419676684109369,False
oer,dG_OOH,MLP,6.918373443967321,12.449483570509496,28.169539487283963,54.24119746729564,-2472.476649584204,4945.861320736244,False
oer,dG_OOH,XGBoost,0.575525115469788,0.11830234937738139,0.8517653422612848,0.2758942576495198,0.6631944011541762,0.10773168472749609,True
oer,overpotential,LinearRegression,1.4926204834102061,0.7817598290428048,2.4374660850997207,1.6380603994103877,-12.843512476167893,20.410061788048043,False
oer,overpotential,Ridge,0.5906178688990305,0.12712661593775038,0.9514678313103104,0.25798752311848966,0.021109743939805647,0.6493025138402809,False
oer,overpotential,RandomForest,0.4623745631160876,0.18656646762220536,0.7437869255346737,0.4172392392360148,0.44567765485575095,0.405694162655057,False
oer,overpotential,MLP,5.651194303857549,9.932816384368422,22.82786986841507,43.39943796181685,-4052.979253906681,8105.056505611239,False
oer,overpotential,XGBoost,0.45568018336677174,0.17603388270359593,0.7899731869740216,0.3634374091972545,0.11241982831441906,0.9535339523442536,True
